termo,site,ano,titulo,data,link,link_base
incêndio,www.sapo.pt,2019,YouTube muda tratamento de dados de crianças após multa nos EUA - Economia - SAPO,2019-09-06 17:25:53,https://arquivo.pt/noFrame/replay/20190906172553/https://www.sapo.pt/noticias/economia/youtube-muda-tratamento-de-dados-de-criancas-_5d700cb6d9048e7d172b2f30,
incêndio,www.sapo.pt,2019,"Xi Jinping pede consenso que garanta sustentabilidade do projeto ""Uma Faixa, Uma Rota"" - Internacion",2019-04-27 17:18:04,https://arquivo.pt/noFrame/replay/20190427171804/https://www.sapo.pt/noticias/internacional/xi-jinping-pede-consenso-que-garanta_5cc41fbfa7b30f058da16407,
incêndio,www.sapo.pt,2019,"You Can't Win, Charlie Brown assinalam dez anos de existência sem nostalgias - Nacional - SAPO",2019-09-02 01:06:24,https://arquivo.pt/noFrame/replay/20190902010624/https://www.sapo.pt/noticias/nacional/you-can-t-win-charlie-brown-assinalam-dez_5d6b87d3de900f7d22745277,
incêndio,www.sapo.pt,2019,Jardim Zoológico dedica Dia Mundial da Vida Selvagem aos oceanos - Nacional — SAPO,2019-03-02 18:17:23,https://arquivo.pt/noFrame/replay/20190302181723/https://www.sapo.pt/noticias/nacional/jardim-zoologico-dedica-dia-mundial-da-vida_5c7976ed0ac3da05df8abd02,
incêndio,www.sapo.pt,2019,“The OutRun”- A Yard Built XSR700 da Ton-up Garage - Desporto — SAPO,2019-03-15 08:00:11,https://arquivo.pt/noFrame/replay/20190315080011/https://www.sapo.pt/noticias/desporto/the-outrun-a-yard-built-xsr700-da-ton-up_5b731ed0abcdb33c28576ad7,
incêndio,www.sapo.pt,2019,Algumas zonas da cidade da Beira voltaram hoje a receber eletricidade - Economia - SAPO,2019-03-22 18:27:33,https://arquivo.pt/noFrame/replay/20190322182733/https://www.sapo.pt/noticias/economia/algumas-zonas-da-cidade-da-beira-voltaram_5c951d3717d82805c24bfb35,
incêndio,www.sapo.pt,2019,“The OutRun”- A Yard Built XSR700 da Ton-up Garage - Desporto — SAPO,2019-03-16 07:42:05,https://arquivo.pt/noFrame/replay/20190316074205/https://www.sapo.pt/noticias/desporto/the-outrun-a-yard-built-xsr700-da-ton-up_5b731ed0abcdb33c28576ad7,
incêndio,www.sapo.pt,2019,Nacional vence e deixa Tondela na zona de despromoção da I Liga - Desporto — SAPO,2019-03-02 18:25:44,https://arquivo.pt/noFrame/replay/20190302182544/https://www.sapo.pt/noticias/desporto/nacional-vence-e-deixa-tondela-na-zona-de_5c7ac699a7b30f058d87348d,
incêndio,www.sapo.pt,2019,Fisker mostra rival do Tesla Model Y - Motores - SAPO,2019-03-19 18:21:24,https://arquivo.pt/noFrame/replay/20190319182124/https://www.sapo.pt/noticias/motores/fisker-mostra-rival-do-tesla-model-y_5c90cc5417d82805c24a5655,
incêndio,www.sapo.pt,2019,Fu Yu chegou aos quartos de final do Open da Hungria - Desporto — SAPO,2019-01-20 18:20:54,https://arquivo.pt/noFrame/replay/20190120182054/https://www.sapo.pt/noticias/desporto/fu-yu-chegou-aos-quartos-de-final-do-open-da-_5c423dfab79f8028359113f3,
incêndio,www.sapo.pt,2019,TT: Troféu Yamaha em Évora - Desporto - SAPO,2019-03-19 18:17:18,https://arquivo.pt/noFrame/replay/20190319181718/https://www.sapo.pt/noticias/desporto/tt-trofeu-yamaha-em-evora_5c90ede1594d7a05c4765009,
incêndio,www.sapo.pt,2019,MotoGP – Pit Beirer: “Johann Zarco tem de mudar a sua atitude” - Desporto - SAPO,2019-03-20 18:28:26,https://arquivo.pt/noFrame/replay/20190320182826/https://www.sapo.pt/noticias/desporto/motogp-pit-beirer-johann-zarco-tem-de-mudar-a_5c8f86867d50b605ceb9c7bf,
incêndio,www.sapo.pt,2019,Salgado Zenha diz que os 65 ME serão para pagar dívidas do Sporting - Desporto - SAPO,2019-03-22 18:20:30,https://arquivo.pt/noFrame/replay/20190322182030/https://www.sapo.pt/noticias/desporto/salgado-zenha-diz-que-os-65-me-serao-para_5c940cdecafe1805931a0905,
incêndio,www.sapo.pt,2019,MotoGP – Pit Beirer: “Johann Zarco tem de mudar a sua atitude” - Desporto - SAPO,2019-03-19 18:18:17,https://arquivo.pt/noFrame/replay/20190319181817/https://www.sapo.pt/noticias/desporto/motogp-pit-beirer-johann-zarco-tem-de-mudar-a_5c8f86867d50b605ceb9c7bf,
incêndio,www.sapo.pt,2019,Kia revela mais um pouco do novo XCeed - Motores - SAPO,2019-03-19 18:20:22,https://arquivo.pt/noFrame/replay/20190319182022/https://www.sapo.pt/noticias/motores/kia-revela-mais-um-pouco-do-novo-xceed_5c90dce47d50b605ceba4454,
incêndio,www.sapo.pt,2019,TT: Taça Yamaha 2019 arranca no Pinhal - Desporto - SAPO,2019-03-20 18:19:13,https://arquivo.pt/noFrame/replay/20190320181913/https://www.sapo.pt/noticias/desporto/tt-taca-yamaha-2019-arranca-no-pinhal_5c923b5f8a5ec905af5f35b6,
incêndio,www.sapo.pt,2019,Presidente da Zâmbia corta salário após aumento da eletricidade e combustíveis - Internacional - SAP,2019-12-29 18:28:46,https://arquivo.pt/noFrame/replay/20191229182846/https://www.sapo.pt/noticias/internacional/presidente-da-zambia-corta-salario-apos_5e066706b846211c1587730d,
incêndio,www.sapo.pt,2019,E que tal um BMW X6 M descapotável? Fará sentido?!,2019-10-14 17:34:05,https://arquivo.pt/noFrame/replay/20191014173405/https://www.sapo.pt/noticias/amp/motores/e-que-tal-um-bmw-x6-m-descapotavel-fara_5da447a858aa43614126c536,
incêndio,www.sapo.pt,2019,Kia XCeed chega a Portugal no final de outubro a partir de 21.990€,2019-10-11 18:37:44,https://arquivo.pt/noFrame/replay/20191011183744/https://www.sapo.pt/noticias/amp/motores/kia-xceed-chega-a-portugal-no-final-de_5d9ccb7b34e9f0618e28a349,
incêndio,www.sapo.pt,2019,Especialista Xavier Viegas defende fixação de pessoas nas zonas florestais remotas - Nacional - SAPO,2019-10-21 19:52:02,https://arquivo.pt/noFrame/replay/20191021195202/https://www.sapo.pt/noticias/nacional/especialista-xavier-viegas-defende-fixacao-de_5dadf82e7c6deb6182278d70,
incêndio,www.sapo.pt,2019,Versão elétrica do Volvo XC40 terá Android Auto e mais personalização,2019-10-11 17:37:23,https://arquivo.pt/noFrame/replay/20191011173723/https://www.sapo.pt/noticias/amp/motores/versao-eletrica-do-volvo-xc40-tera-android_5d9f0166a7922c614397a07e,
incêndio,www.sapo.pt,2019,Especialista Xavier Viegas defende fixação de pessoas nas zonas florestais remotas,2019-10-21 19:52:05,https://arquivo.pt/noFrame/replay/20191021195205/https://www.sapo.pt/noticias/amp/nacional/especialista-xavier-viegas-defende-fixacao-de_5dadf82e7c6deb6182278d70,
incêndio,www.sapo.pt,2019,Quarta geração do Toyota Yaris está pronta e será assim!,2019-10-14 17:34:34,https://arquivo.pt/noFrame/replay/20191014173434/https://www.sapo.pt/noticias/amp/motores/quarta-geracao-do-toyota-yaris-esta-pronta-e-_5da49bcf9b9ed0613c401d1d,
incêndio,www.sapo.pt,2019,Lancia lança Ypsilon Monogram para “reforçar” vendas e bater a Alfa Romeo,2019-10-14 17:34:44,https://arquivo.pt/noFrame/replay/20191014173444/https://www.sapo.pt/noticias/amp/motores/lancia-lanca-ypsilon-monogram-para-reforcar_5da48db400bb606165bef20d,
incêndio,www.sapo.pt,2019,Model Y é arma da Tesla para a “guerra” elétrica que está a começar - Motores — SAPO,2019-03-18 18:34:12,https://arquivo.pt/noFrame/replay/20190318183412/https://www.sapo.pt/noticias/motores/model-y-e-arma-da-tesla-para-a-guerra_5c8b6c394b89dc05b673175f,
incêndio,www.sapo.pt,2019,Filho de ex-PR sul-africano Jacob Zuma ilibado do crime de homicídio - Internacional - SAPO,2019-07-13 17:21:22,https://arquivo.pt/noFrame/replay/20190713172122/https://www.sapo.pt/noticias/internacional/filho-de-ex-pr-sul-africano-jacob-zuma_5d2892b2dac4c17d4eef1457,
